Page,HarakatStage,NewLetters,ActiveLetters,L1Slots,L2Slots,L3Slots,SpecialInjection,Status
1,FATHAH,ابتثني,ابتثني,8,8,8,NONE,REVIEW_CANDIDATE
2,FATHAH,جحخ,ابتثنيجحخ,8,8,8,NONE,REVIEW_CANDIDATE
3,FATHAH,دذ,ابتثنيجحخدذ,8,8,8,NONE,REVIEW_CANDIDATE
4,FATHAH,رز,ابتثنيجحخدذرز,8,8,8,NONE,REVIEW_CANDIDATE
5,FATHAH,سش,ابتثنيجحخدذرزسش,8,8,8,NONE,REVIEW_CANDIDATE
6,FATHAH,صض,ابتثنيجحخدذرزسشصض,8,8,8,NONE,REVIEW_CANDIDATE
7,FATHAH,طظ,ابتثنيجحخدذرزسشصضطظ,8,8,8,NONE,REVIEW_CANDIDATE
8,FATHAH,عغ,ابتثنيجحخدذرزسشصضطظعغ,8,8,8,NONE,REVIEW_CANDIDATE
9,FATHAH,فق,ابتثنيجحخدذرزسشصضطظعغفق,8,8,8,NONE,REVIEW_CANDIDATE
10,FATHAH,كل,ابتثنيجحخدذرزسشصضطظعغفقكل,8,8,8,NONE,REVIEW_CANDIDATE
11,FATHAH,مه,ابتثنيجحخدذرزسشصضطظعغفقكلمنه,8,8,8,NONE,REVIEW_CANDIDATE
12,FATHAH,و,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
13,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
14,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
15,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
16,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
17,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
18,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
19,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
20,SPECIAL,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,0,0,0,LETTER_NAMES,REVIEW_CANDIDATE
21,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
22,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
23,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
24,KASRAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
25,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
26,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
27,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
28,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
29,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
30,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
31,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
32,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
33,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
34,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
35,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
36,DHAMMAH,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
37,MIXED,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
38,MIXED,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
39,MIXED,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,8,8,8,NONE,REVIEW_CANDIDATE
40,SPECIAL,,ابتثنيجحخدذرزسشصضطظعغفقكلمنهوي,0,0,0,LETTER_NAMES,REVIEW_CANDIDATE
