item_id,page_id,order,arabic,declared_letters,computed_letters,sukun_carriers,target_sukun,function,mad,tanwin,source_type,tashih_status,validation_flags
"QJ3-P016-I01","QJ3-P016","1","فَضْلٌ","3","3","ض","ضْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I02","QJ3-P016","2","فَضْحٌ","3","3","ض","ضْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I03","QJ3-P016","3","خُضْرٌ","3","3","ض","ضْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I04","QJ3-P016","4","نَضْرٌ","3","3","ض","ضْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I05","QJ3-P016","5","حَضْرٌ","3","3","ض","ضْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I06","QJ3-P016","6","مَضْغٌ","3","3","ض","ضْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I07","QJ3-P016","7","عَضْلٌ","3","3","ض","ضْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I08","QJ3-P016","8","رَضْعٌ","3","3","ض","ضْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I09","QJ3-P016","9","يَضْرِبُ","4","4","ض","ضْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I10","QJ3-P016","10","يَضْحَكُ","4","4","ض","ضْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I11","QJ3-P016","11","يَضْعُفُ","4","4","ض","ضْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I12","QJ3-P016","12","يَضْمَنُ","4","4","ض","ضْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I13","QJ3-P016","13","يَخْرُجُ","4","4","خ","ضْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I14","QJ3-P016","14","يَعْلَمُ","4","4","ع","ضْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I15","QJ3-P016","15","يَغْفِرُ","4","4","غ","ضْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I16","QJ3-P016","16","يَأْكُلُ","4","4","ء","ضْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I17","QJ3-P016","17","يَصْبِرُ","4","4","ص","ضْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I18","QJ3-P016","18","يَمْنَعُ","4","4","م","ضْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I19","QJ3-P016","19","يَسْمَعُ","4","4","س","ضْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I20","QJ3-P016","20","يَنْظُرُ","4","4","ن","ضْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I21","QJ3-P016","21","مَضْرُوبٌ","5","5","ض","ضْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I22","QJ3-P016","22","مَضْمُونٌ","5","5","ض","ضْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I23","QJ3-P016","23","مَضْغُوطٌ","5","5","ض","ضْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P016-I24","QJ3-P016","24","مَضْبُوطٌ","5","5","ض","ضْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I01","QJ3-P017","1","نَظْمٌ","3","3","ظ","ظْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I02","QJ3-P017","2","نَظْمٍ","3","3","ظ","ظْ","FOCUS","NONE","KASRATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I03","QJ3-P017","3","عَظْمٌ","3","3","ظ","ظْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I04","QJ3-P017","4","عَظْمٍ","3","3","ظ","ظْ","FOCUS","NONE","KASRATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I05","QJ3-P017","5","كَظْمٌ","3","3","ظ","ظْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I06","QJ3-P017","6","كَظْمٍ","3","3","ظ","ظْ","FOCUS","NONE","KASRATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I07","QJ3-P017","7","حَظْرٌ","3","3","ظ","ظْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I08","QJ3-P017","8","حَظْرٍ","3","3","ظ","ظْ","FOCUS","NONE","KASRATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I09","QJ3-P017","9","يَظْلِمُ","4","4","ظ","ظْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I10","QJ3-P017","10","يَظْهَرُ","4","4","ظ","ظْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I11","QJ3-P017","11","يَظْفَرُ","4","4","ظ","ظْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I12","QJ3-P017","12","يَظْعَنُ","4","4","ظ","ظْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I13","QJ3-P017","13","يَضْرِبُ","4","4","ض","ظْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I14","QJ3-P017","14","يَضْحَكُ","4","4","ض","ظْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I15","QJ3-P017","15","يَخْرُجُ","4","4","خ","ظْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I16","QJ3-P017","16","يَعْلَمُ","4","4","ع","ظْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I17","QJ3-P017","17","يَغْفِرُ","4","4","غ","ظْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I18","QJ3-P017","18","يَأْكُلُ","4","4","ء","ظْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I19","QJ3-P017","19","يَصْبِرُ","4","4","ص","ظْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I20","QJ3-P017","20","يَنْظُرُ","4","4","ن","ظْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I21","QJ3-P017","21","مَظْلُومٌ","5","5","ظ","ظْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I22","QJ3-P017","22","مَظْنُونٌ","5","5","ظ","ظْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I23","QJ3-P017","23","مَظْرُوفٌ","5","5","ظ","ظْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P017-I24","QJ3-P017","24","مَظْفُورٌ","5","5","ظ","ظْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I01","QJ3-P018","1","خَوْفٌ","3","3","و","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I02","QJ3-P018","2","يَوْمٌ","3","3","و","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I03","QJ3-P018","3","قَوْمٌ","3","3","و","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I04","QJ3-P018","4","نَوْمٌ","3","3","و","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I05","QJ3-P018","5","بَيْتٌ","3","3","ي","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I06","QJ3-P018","6","لَيْلٌ","3","3","ي","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I07","QJ3-P018","7","سَيْفٌ","3","3","ي","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I08","QJ3-P018","8","زَيْتٌ","3","3","ي","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I09","QJ3-P018","9","مَوْعِدٌ","4","4","و","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I10","QJ3-P018","10","مَوْلِدٌ","4","4","و","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I11","QJ3-P018","11","مَيْسِرٌ","4","4","ي","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I12","QJ3-P018","12","هَيْكَلٌ","4","4","ي","وْ/يْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I13","QJ3-P018","13","يَضْرِبُ","4","4","ض","وْ/يْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I14","QJ3-P018","14","يَظْلِمُ","4","4","ظ","وْ/يْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P018-I15","QJ3-P018","15","يَخْرُجُ","4","4","خ","وْ/يْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
