item_id,page_id,order,arabic,declared_letters,computed_letters,sukun_carriers,target_sukun,function,mad,tanwin,source_type,tashih_status,validation_flags
"QJ3-P006-I01","QJ3-P006","1","مَثْلٌ","3","3","ث","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I02","QJ3-P006","2","إِثْمٌ","3","3","ث","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I03","QJ3-P006","3","حَثْوٌ","3","3","ث","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I04","QJ3-P006","4","وَثْبٌ","3","3","ث","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I05","QJ3-P006","5","إِذْنٌ","3","3","ذ","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I06","QJ3-P006","6","أُذْنٌ","3","3","ذ","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I07","QJ3-P006","7","بَذْلٌ","3","3","ذ","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I08","QJ3-P006","8","نَذْرٌ","3","3","ذ","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I09","QJ3-P006","9","رِزْقٌ","3","3","ز","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I10","QJ3-P006","10","جُزْءٌ","3","3","ز","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I11","QJ3-P006","11","حُزْنٌ","3","3","ز","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I12","QJ3-P006","12","وَزْنٌ","3","3","ز","ثْ/ذْ/زْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I13","QJ3-P006","13","يَمْنَعُ","4","4","م","ثْ/ذْ/زْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I14","QJ3-P006","14","يَلْعَبُ","4","4","ل","ثْ/ذْ/زْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I15","QJ3-P006","15","يَفْهَمُ","4","4","ف","ثْ/ذْ/زْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I16","QJ3-P006","16","يَكْتُبُ","4","4","ك","ثْ/ذْ/زْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I17","QJ3-P006","17","يَسْمَعُ","4","4","س","ثْ/ذْ/زْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I18","QJ3-P006","18","يَشْرَبُ","4","4","ش","ثْ/ذْ/زْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I19","QJ3-P006","19","يَثْنِي","4","4","ث","ثْ/ذْ/زْ","REVIEW_MAD_SUKUN","KASRAH_YA","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I20","QJ3-P006","20","تَثْنِي","4","4","ث","ثْ/ذْ/زْ","REVIEW_MAD_SUKUN","KASRAH_YA","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I21","QJ3-P006","21","أُذْنِي","4","4","ذ","ثْ/ذْ/زْ","REVIEW_MAD_SUKUN","KASRAH_YA","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I22","QJ3-P006","22","إِذْنِي","4","4","ذ","ثْ/ذْ/زْ","REVIEW_MAD_SUKUN","KASRAH_YA","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I23","QJ3-P006","23","يَزْكُو","4","4","ز","ثْ/ذْ/زْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P006-I24","QJ3-P006","24","تَزْكُو","4","4","ز","ثْ/ذْ/زْ","REVIEW_MAD_SUKUN","DHAMMAH_WAW","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P007-I01","QJ3-P007","1","أَرْضٌ","3","3","ر","رْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P007-I02","QJ3-P007","2","عَرْشٌ","3","3","ر","رْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P007-I03","QJ3-P007","3","قَرْنٌ","3","3","ر","رْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
