item_id,page_id,order,arabic,declared_letters,computed_letters,sukun_carriers,target_sukun,function,mad,tanwin,source_type,tashih_status,validation_flags
"QJ3-P026-I01","QJ3-P026","1","قَلْبٌ","3","3","ل","REVIEW","REVIEW_CUMULATIVE","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I02","QJ3-P026","2","عِلْمٌ","3","3","ل","REVIEW","REVIEW_CUMULATIVE","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I03","QJ3-P026","3","مُلْكٌ","3","3","ل","REVIEW","REVIEW_CUMULATIVE","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I04","QJ3-P026","4","نَصْرٌ","3","3","ص","REVIEW","REVIEW_CUMULATIVE","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I05","QJ3-P026","5","اَلْفَمُ","4","4","ل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I06","QJ3-P026","6","اَلْفَمَ","4","4","ل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I07","QJ3-P026","7","اَلْفَمِ","4","4","ل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I08","QJ3-P026","8","اَلْأَبُ","4","4","ل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I09","QJ3-P026","9","اَلْأَبَ","4","4","ل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I10","QJ3-P026","10","اَلْأَبِ","4","4","ل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I11","QJ3-P026","11","اَلْأَخُ","4","4","ل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I12","QJ3-P026","12","اَلْأَخَ","4","4","ل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I13","QJ3-P026","13","اَلْبَابُ","5","5","ل","اَلْ","FOCUS_QAMARIYAH","FATHAH_ALIF","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I14","QJ3-P026","14","اَلْمَالُ","5","5","ل","اَلْ","FOCUS_QAMARIYAH","FATHAH_ALIF","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P026-I15","QJ3-P026","15","اَلْعِلْمُ","5","5","لل","اَلْ","FOCUS_QAMARIYAH","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
