item_id,page_id,order,arabic,declared_letters,computed_letters,sukun_carriers,target_sukun,function,mad,tanwin,source_type,tashih_status,validation_flags
"QJ3-P031-I01","QJ3-P031","1","عِلْمٌ","3","3","ل","REVIEW","CUMULATIVE_REVIEW","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I02","QJ3-P031","2","خَوْفٌ","3","3","و","REVIEW","CUMULATIVE_REVIEW","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I03","QJ3-P031","3","يَوْمٌ","3","3","و","REVIEW","CUMULATIVE_REVIEW","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I04","QJ3-P031","4","فَوْزٌ","3","3","و","REVIEW","CUMULATIVE_REVIEW","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I05","QJ3-P031","5","يَعْلَمُ","4","4","ع","REVIEW","CUMULATIVE_REVIEW","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I06","QJ3-P031","6","يَغْفِرُ","4","4","غ","REVIEW","CUMULATIVE_REVIEW","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I07","QJ3-P031","7","يَهْدِي","4","4","ه","REVIEW","CUMULATIVE_REVIEW","KASRAH_YA","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I08","QJ3-P031","8","مَوْعِدٌ","4","4","و","REVIEW","CUMULATIVE_REVIEW","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I09","QJ3-P031","9","اَلْعِلْمُ","5","5","لل","AL_QAMARIYAH","QAMARIYAH_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I10","QJ3-P031","10","اَلْخَوْفُ","5","5","لو","AL_QAMARIYAH","QAMARIYAH_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I11","QJ3-P031","11","اَلْيَوْمُ","5","5","لو","AL_QAMARIYAH","QAMARIYAH_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I12","QJ3-P031","12","اَلْفَوْزُ","5","5","لو","AL_QAMARIYAH","QAMARIYAH_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I13","QJ3-P031","13","اَلْحَمْدُ","5","5","لم","AL_QAMARIYAH","QAMARIYAH_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I14","QJ3-P031","14","اَلْغَيْبُ","5","5","لي","AL_QAMARIYAH","QAMARIYAH_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P031-I15","QJ3-P031","15","اَلْأَمَلُ","5","5","ل","AL_QAMARIYAH","QAMARIYAH_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
