item_id,page_id,order,arabic,declared_letters,computed_letters,sukun_carriers,target_sukun,function,mad,tanwin,source_type,tashih_status,validation_flags
"QJ3-P011-I01","QJ3-P011","1","أَخْذٌ","3","3","خ","خْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I02","QJ3-P011","2","بَخْسٌ","3","3","خ","خْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I03","QJ3-P011","3","نَخْلٌ","3","3","خ","خْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I04","QJ3-P011","4","فَخْرٌ","3","3","خ","خْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I05","QJ3-P011","5","صَخْرٌ","3","3","خ","خْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I06","QJ3-P011","6","سُخْفٌ","3","3","خ","خْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I07","QJ3-P011","7","رُخْصٌ","3","3","خ","خْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I08","QJ3-P011","8","شَخْصٌ","3","3","خ","خْ","FOCUS","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I09","QJ3-P011","9","يَخْرُجُ","4","4","خ","خْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I10","QJ3-P011","10","يَخْلُقُ","4","4","خ","خْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I11","QJ3-P011","11","يَخْشَى","4","4","خ","خْ","FOCUS","FATHAH_ALIF","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I12","QJ3-P011","12","يَخْسَرُ","4","4","خ","خْ","FOCUS","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I13","QJ3-P011","13","يَمْنَعُ","4","4","م","خْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P011-I14","QJ3-P011","14","يَلْعَبُ","4","4","ل","خْ","REVIEW_CUMULATIVE","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
