item_id,page_id,order,arabic,declared_letters,computed_letters,sukun_carriers,target_sukun,function,mad,tanwin,source_type,tashih_status,validation_flags
"QJ3-P021-I01","QJ3-P021","1","عَلِمَ","3","3","NONE","لْ","CONTRAST_LAM_HARAKAT","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I02","QJ3-P021","2","خَلَقَ","3","3","NONE","لْ","CONTRAST_LAM_HARAKAT","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I03","QJ3-P021","3","سَلِمَ","3","3","NONE","لْ","CONTRAST_LAM_HARAKAT","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I04","QJ3-P021","4","لَبِسَ","3","3","NONE","لْ","CONTRAST_LAM_HARAKAT","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I05","QJ3-P021","5","قَلْبٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I06","QJ3-P021","6","كَلْبٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I07","QJ3-P021","7","عِلْمٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I08","QJ3-P021","8","مُلْكٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I09","QJ3-P021","9","يَعْلَمُ","4","4","ع","لْ","CONTRAST_LAM_HARAKAT","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I10","QJ3-P021","10","يَخْلُقُ","4","4","خ","لْ","CONTRAST_LAM_HARAKAT","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I11","QJ3-P021","11","يَسْلَمُ","4","4","س","لْ","CONTRAST_LAM_HARAKAT","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I12","QJ3-P021","12","يَلْبَسُ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I13","QJ3-P021","13","يَلْعَبُ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I14","QJ3-P021","14","يَلْزَمُ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I15","QJ3-P021","15","مِلْحَفٌ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I16","QJ3-P021","16","مُلْحَقٌ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I17","QJ3-P021","17","يَفْهَمُ","4","4","ف","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I18","QJ3-P021","18","يَكْتُبُ","4","4","ك","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I19","QJ3-P021","19","يَسْمَعُ","4","4","س","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I20","QJ3-P021","20","يَنْظُرُ","4","4","ن","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I21","QJ3-P021","21","يَخْرُجُ","4","4","خ","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I22","QJ3-P021","22","يَغْفِرُ","4","4","غ","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I23","QJ3-P021","23","يَصْبِرُ","4","4","ص","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P021-I24","QJ3-P021","24","يَرْمِي","4","4","ر","لْ","REVIEW_TRANSFER","KASRAH_YA","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I01","QJ3-P022","1","قَلْبٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I02","QJ3-P022","2","كَلْبٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I03","QJ3-P022","3","ثَلْجٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I04","QJ3-P022","4","حَلْقٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I05","QJ3-P022","5","حَلْفٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I06","QJ3-P022","6","خَلْفٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I07","QJ3-P022","7","سَلْفٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I08","QJ3-P022","8","تَلْفٌ","3","3","ل","لْ","FOCUS_LAM_SUKUN","NONE","DHAMMATAIN","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I09","QJ3-P022","9","يَلْعَبُ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I10","QJ3-P022","10","يَلْبَسُ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I11","QJ3-P022","11","يَلْزَمُ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I12","QJ3-P022","12","يَلْحَقُ","4","4","ل","لْ","FOCUS_LAM_SUKUN","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I13","QJ3-P022","13","يَخْرُجُ","4","4","خ","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I14","QJ3-P022","14","يَعْلَمُ","4","4","ع","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I15","QJ3-P022","15","يَغْفِرُ","4","4","غ","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I16","QJ3-P022","16","يَأْكُلُ","4","4","ء","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
"QJ3-P022-I17","QJ3-P022","17","يَصْبِرُ","4","4","ص","لْ","REVIEW_TRANSFER","NONE","NONE","AR-CANDIDATE","PENDING","PASS_STRUCTURAL"
