Page,StairCode,Description
21,K2.SK1.T01,Mengenali pola fathah sebelum alif
21,K2.SK1.T02,Membedakan bunyi pendek a dan panjang aa
21,K2.SK1.T03,Membaca mad alif pada posisi tengah kata
21,K2.SK1.T04,Membaca mad alif pada kata tiga huruf bermakna
21,K2.SK1.T05,Membaca mad alif bersama huruf pemutus sambungan
21,K2.SK1.T06,Membaca mad alif bersama huruf penyambung
21,K2.SK1.T07,Menggabungkan mad alif dengan fathah kasrah dhammah yang telah dipelajari
21,K2.SK1.T08,Murojaah kata tanpa mad dari P001-P019
21,K2.SK1.T09,Membaca acak kata mad alif dan kata murojaah tanpa bocoran kompetensi atas
21,K2.SK1.T10,Membaca mandiri kata bermakna dengan mad alif
