Page,StairCode,Description
9,K1.SK9.T01,Mengenali bentuk keluarga ك ل ketika disambungkan
9,K1.SK9.T02,Membaca ك ل pada posisi awal rangkaian tiga huruf
9,K1.SK9.T03,Membaca ك ل pada posisi tengah rangkaian tiga huruf
9,K1.SK9.T04,Membaca ك ل pada posisi akhir rangkaian tiga huruf
9,K1.SK9.T05,Membaca fokus ك dengan variasi fathah kasrah dhammah
9,K1.SK9.T06,Membaca fokus ل dengan variasi fathah kasrah dhammah
9,K1.SK9.T07,Membedakan bentuk ك dan ل dalam campuran huruf yang sudah dipelajari
9,K1.SK9.T08,Membaca rangkaian tiga huruf secara acak dengan tiga harakat pendek
9,K1.SK9.T09,Murojaah bentuk sambung huruf sebelumnya bersama ك ل
9,K1.SK9.T10,Membaca fokus ك ل secara mandiri tanpa mad hamzah sukun tanwin tasydid atau huruf masa depan
