slot,word,meaning_id,function,competency_status,lexical_status
1,يَبِسَ,menjadi kering,CURRENT,ALLOWED,CURATED
2,يَبُسَ,menjadi sangat kering,CURRENT,ALLOWED,CURATED
3,يَتِمَ,menjadi yatim,CURRENT,ALLOWED,CURATED
4,يَسَرَ,menjadi mudah,CURRENT,ALLOWED,CURATED
5,يَسُرَ,menjadi mudah atau ringan,CURRENT,ALLOWED,CURATED
6,يَمِنَ,menjadi diberkahi atau berada di kanan,CURRENT,ALLOWED,CURATED
7,يَمُنَ,menjadi baik atau berberkah,CURRENT,ALLOWED,CURATED
8,يَقِظَ,menjadi terjaga,CURRENT,ALLOWED,CURATED
9,يَنَعَ,menjadi matang,CURRENT,ALLOWED,CURATED
10,يَنِعَ,menjadi matang atau ranum,CURRENT,ALLOWED,CURATED
11,يَفَعَ,beranjak remaja,CURRENT,ALLOWED,CURATED
12,لَيِنَ,menjadi lembut,CURRENT,ALLOWED,CURATED
13,طَيِبَ,menjadi baik atau harum,CURRENT,ALLOWED,CURATED
14,ضَيِقَ,menjadi sempit,CURRENT,ALLOWED,CURATED
15,حَيِيَ,merasa malu atau hidup,CURRENT,ALLOWED,CURATED
16,عَيِيَ,menjadi lemah atau tidak mampu mengungkapkan,CURRENT,ALLOWED,CURATED
17,مَنَعَ,mencegah atau melarang,MUROJAAH,ALLOWED,CURATED
18,نَزَلَ,turun,MUROJAAH,ALLOWED,CURATED
19,هَبَطَ,turun,MUROJAAH,ALLOWED,CURATED
20,وَصَلَ,sampai atau menyambung,MUROJAAH,ALLOWED,CURATED
21,كَتَبَ,menulis,MUROJAAH,ALLOWED,CURATED
22,لَعِبَ,bermain,MUROJAAH,ALLOWED,CURATED
23,قَرُبَ,menjadi dekat,MUROJAAH,ALLOWED,CURATED
24,فَرِحَ,bergembira,MUROJAAH,ALLOWED,CURATED
25,عَبِثَ,bermain-main atau berbuat sia-sia,MUROJAAH,ALLOWED,CURATED
26,غَضِبَ,menjadi marah,MUROJAAH,ALLOWED,CURATED
27,طَلَبَ,mencari atau meminta,MUROJAAH,ALLOWED,CURATED
28,ظَفِرَ,berhasil memperoleh,MUROJAAH,ALLOWED,CURATED
29,صَبَرَ,bersabar,MUROJAAH,ALLOWED,CURATED
30,ضَرَبَ,memukul,MUROJAAH,ALLOWED,CURATED
31,سَجَدَ,bersujud,MUROJAAH,ALLOWED,CURATED
32,شَكَرَ,bersyukur,MUROJAAH,ALLOWED,CURATED
