StairCode,Description
K1.SK3.T01,Mengenali bentuk س ketika berada dalam sambungan
K1.SK3.T02,Mengenali bentuk ش ketika berada dalam sambungan
K1.SK3.T03,Membedakan س dan ش pada posisi awal kata
K1.SK3.T04,Membedakan س dan ش pada posisi tengah kata
K1.SK3.T05,Membaca kata tiga huruf bermakna yang mengandung س
K1.SK3.T06,Membaca kata tiga huruf bermakna yang mengandung ش
K1.SK3.T07,Membaca س ش bersama keluarga sambung ب ت ث
K1.SK3.T08,Membaca س ش bersama keluarga sambung ج ح خ
K1.SK3.T09,Membaca س ش dengan pemutus sambungan ا د ذ ر ز و
K1.SK3.T10,Membaca campuran kata bermakna secara kumulatif tanpa keluar dari batas kompetensi P003
