StairCode,Description
K1.SK6.T01,Mengenali bentuk ط ketika berada dalam sambungan
K1.SK6.T02,Mengenali ط pada posisi awal kata
K1.SK6.T03,Mengenali ط pada posisi tengah kata
K1.SK6.T04,Mengenali ط pada posisi akhir kata
K1.SK6.T05,Membaca kata tiga huruf bermakna yang mengandung ط dengan fathah
K1.SK6.T06,Membaca kata tiga huruf bermakna yang mengandung ط dengan variasi kasrah
K1.SK6.T07,Membaca kata tiga huruf bermakna yang mengandung ط dengan variasi dhammah
K1.SK6.T08,Membaca ط bersama seluruh keluarga huruf yang telah diperoleh P001-P005
K1.SK6.T09,Membaca ط bersama pemutus sambungan ا د ذ ر ز و tanpa kehilangan pola sambung
K1.SK6.T10,Membaca campuran kata bermakna secara kumulatif tanpa keluar dari batas kompetensi P006
