slot,word,meaning_id,function,competency_status,lexical_status
1,عَبَرَ,menyeberang ع awal,ACQUISITION,ALLOWED,MEANINGFUL
2,عَبَثَ,bermain main ع awal,ACQUISITION,ALLOWED,MEANINGFUL
3,عَجِبَ,merasa kagum ع awal,ACQUISITION,ALLOWED,MEANINGFUL
4,عَطِشَ,merasa haus ع awal,ACQUISITION,ALLOWED,MEANINGFUL
5,عَرَضَ,menampilkan ع awal,ACQUISITION,ALLOWED,MEANINGFUL
6,عَبَرَ,menyeberang ع awal,ACQUISITION,ALLOWED,MEANINGFUL
7,عَبَثَ,bermain main ع awal,ACQUISITION,ALLOWED,MEANINGFUL
8,عَجِبَ,merasa kagum ع awal,ACQUISITION,ALLOWED,MEANINGFUL
9,عَطِشَ,merasa haus ع awal,ACQUISITION,ALLOWED,MEANINGFUL
10,عَرَضَ,menampilkan ع awal,ACQUISITION,ALLOWED,MEANINGFUL
11,عَبَرَ,menyeberang ع awal,ACQUISITION,ALLOWED,MEANINGFUL
12,عَبَثَ,bermain main ع awal,ACQUISITION,ALLOWED,MEANINGFUL
13,عَجِبَ,merasa kagum ع awal,ACQUISITION,ALLOWED,MEANINGFUL
14,عَطِشَ,merasa haus ع awal,ACQUISITION,ALLOWED,MEANINGFUL
15,غَرَبَ,terbenam atau pergi ke barat غ awal,ACQUISITION,ALLOWED,MEANINGFUL
16,غَضِبَ,marah غ awal,ACQUISITION,ALLOWED,MEANINGFUL
17,غَبَرَ,berlalu atau berdebu غ awal,ACQUISITION,ALLOWED,MEANINGFUL
18,غَرَبَ,terbenam atau pergi ke barat غ awal,ACQUISITION,ALLOWED,MEANINGFUL
19,غَضِبَ,marah غ awal,ACQUISITION,ALLOWED,MEANINGFUL
20,غَبَرَ,berlalu atau berdebu غ awal,ACQUISITION,ALLOWED,MEANINGFUL
21,غَرَبَ,terbenam atau pergi ke barat غ awal,ACQUISITION,ALLOWED,MEANINGFUL
22,غَضِبَ,marah غ awal,ACQUISITION,ALLOWED,MEANINGFUL
23,غَبَرَ,berlalu atau berdebu غ awal,ACQUISITION,ALLOWED,MEANINGFUL
24,غَرَبَ,terbenam atau pergi ke barat غ awal,ACQUISITION,ALLOWED,MEANINGFUL
25,غَضِبَ,marah غ awal,ACQUISITION,ALLOWED,MEANINGFUL
26,غَبَرَ,berlalu atau berdebu غ awal,ACQUISITION,ALLOWED,MEANINGFUL
27,غَرَبَ,terbenam atau pergi ke barat غ awal,ACQUISITION,ALLOWED,MEANINGFUL
28,غَضِبَ,marah غ awal,ACQUISITION,ALLOWED,MEANINGFUL
29,عَبَرَ,contoh nyata ع,MUROJAAH,ALLOWED,CURATED
30,غَرَبَ,contoh nyata غ,MUROJAAH,ALLOWED,CURATED
31,طَرَبَ,murojaah,MUROJAAH,ALLOWED,CURATED
32,حَظَرَ,murojaah,MUROJAAH,ALLOWED,CURATED
