Page,PageCode,CompetencyCode,Competency,SubCompetencyCode,SubCompetency,StairCode,StairOrder,StairDescription,AssessmentEvidence,Status
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T01,1,Mengenali bahwa huruf tunggal dapat dirangkai,Mampu menunjukkan hubungan bentuk tunggal dengan rangkaian,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T02,2,Mengenali bahwa bentuk huruf dapat berubah ketika bersambung,Mampu mengenali perubahan visual tanpa menganggapnya huruf baru,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T03,3,Mengenali bentuk huruf pada posisi awal,Mampu membaca huruf pada posisi awal rangkaian,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T04,4,Mengenali bentuk huruf pada posisi tengah,Mampu membaca huruf pada posisi tengah rangkaian,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T05,5,Mengenali bentuk huruf pada posisi akhir,Mampu membaca huruf pada posisi akhir rangkaian,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T06,6,Membaca rangkaian tiga huruf secara terpimpin,Mampu membaca unit L3 setelah paparan guru,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T07,7,Membaca rangkaian tiga huruf dengan variasi fathah kasrah dan dhammah,Mampu mempertahankan harakat tiap huruf dalam unit L3,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T08,8,Membaca rangkaian tanpa bantuan pemecahan huruf,Mampu membaca bentuk sambung langsung tanpa panah paparan,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T09,9,Membaca rangkaian secara acak,Mampu membaca variasi urutan tanpa bergantung pola hafalan,FROZEN_P001
1,QJ2-P001,K1,Membaca huruf hijaiyah bersambung,K1.SK1,Konsep dasar perubahan huruf ketika disambung,K1.SK1.T10,10,Transfer awal ke rangkaian baru tiga huruf,Mampu membaca unit L3 baru yang tidak dicontohkan dalam paparan,FROZEN_P001
