Page,StairCode,Description
22,K2.SK2.T01,Membaca ulang pola fathah diikuti alif pada kata tiga huruf
22,K2.SK2.T02,Membedakan bunyi pendek dan panjang dalam kata bermad alif
22,K2.SK2.T03,Membaca kata tiga huruf bermad alif secara mandiri
22,K2.SK2.T04,Mentransfer mad alif ke kata empat huruf
22,K2.SK2.T05,Membaca mad alif pada posisi awal atau tengah struktur kata empat huruf
22,K2.SK2.T06,Mentransfer mad alif ke kata lima huruf
22,K2.SK2.T07,Membaca mad alif pada kata lima huruf tanpa memutus bentuk sambung
22,K2.SK2.T08,Mencampur kata tiga empat dan lima huruf yang semuanya bermad alif
22,K2.SK2.T09,Menjaga panjang dua harakat pada seluruh variasi kata
22,K2.SK2.T10,Membaca mandiri seluruh objek transfer mad alif tanpa bantuan pemecahan
