StairCode,Description
K1.SK8.T01,Mengenali keluarga bentuk ف ق ketika disambungkan
K1.SK8.T02,Membedakan ف dan ق melalui titik pada bentuk dasar yang berkerabat
K1.SK8.T03,Membaca ف pada posisi awal tengah dan akhir rangkaian 3 huruf
K1.SK8.T04,Membaca ق pada posisi awal tengah dan akhir rangkaian 3 huruf
K1.SK8.T05,Membaca rangkaian 3 huruf dengan fokus ف
K1.SK8.T06,Membaca rangkaian 3 huruf dengan fokus ق
K1.SK8.T07,Membedakan ف dan ق dalam variasi pasangan huruf lama
K1.SK8.T08,Membaca ف ق secara acak tanpa bantuan pemecahan
K1.SK8.T09,Murojaah bentuk sambung huruf sebelumnya bersama ف ق
K1.SK8.T10,Membaca fokus ف ق secara mandiri tanpa mad hamzah atau huruf masa depan
