slot,word,meaning_id,function,competency_status,lexical_status
1,هَبَطَ,turun,CURRENT,ALLOWED,CURATED
2,هَدَمَ,merobohkan,CURRENT,ALLOWED,CURATED
3,هَرَبَ,melarikan diri,CURRENT,ALLOWED,CURATED
4,هَلَكَ,binasa,CURRENT,ALLOWED,CURATED
5,هَمَسَ,berbisik,CURRENT,ALLOWED,CURATED
6,هَجَرَ,meninggalkan,CURRENT,ALLOWED,CURATED
7,هَزَمَ,mengalahkan,CURRENT,ALLOWED,CURATED
8,هَرَمَ,menjadi tua,CURRENT,ALLOWED,CURATED
9,فَهِمَ,memahami,CURRENT,ALLOWED,CURATED
10,سَهُلَ,menjadi mudah,CURRENT,ALLOWED,CURATED
11,شَهِدَ,menyaksikan,CURRENT,ALLOWED,CURATED
12,نَهَرَ,menghardik,CURRENT,ALLOWED,CURATED
13,ذَهَبَ,pergi,CURRENT,ALLOWED,CURATED
14,لَهِبَ,menyala,CURRENT,ALLOWED,CURATED
15,وَصَلَ,sampai atau menyambung,CURRENT,ALLOWED,CURATED
16,وَعَدَ,berjanji,CURRENT,ALLOWED,CURATED
17,وَجَدَ,menemukan,CURRENT,ALLOWED,CURATED
18,وَقَفَ,berhenti,CURRENT,ALLOWED,CURATED
19,وَهَبَ,menganugerahkan,CURRENT,ALLOWED,CURATED
20,وَزَنَ,menimbang,CURRENT,ALLOWED,CURATED
21,وَرِثَ,mewarisi,CURRENT,ALLOWED,CURATED
22,وَسِعَ,menjadi luas atau meliputi,CURRENT,ALLOWED,CURATED
23,وَقَعَ,terjadi atau jatuh,CURRENT,ALLOWED,CURATED
24,وَهَنَ,menjadi lemah,CURRENT,ALLOWED,CURATED
25,وَلَدَ,melahirkan,CURRENT,ALLOWED,CURATED
26,وَصَفَ,menggambarkan,CURRENT,ALLOWED,CURATED
27,وَرَدَ,datang atau tiba,CURRENT,ALLOWED,CURATED
28,وَثَقَ,menjadi kuat atau terpercaya,CURRENT,ALLOWED,CURATED
29,مَنَعَ,mencegah atau melarang,MUROJAAH,ALLOWED,CURATED
30,نَزَلَ,turun,MUROJAAH,ALLOWED,CURATED
31,كَتَبَ,menulis,MUROJAAH,ALLOWED,CURATED
32,فَرِحَ,bergembira,MUROJAAH,ALLOWED,CURATED
