Page,StairCode,Description
13,K2.SK1.T01,Membedakan bunyi pendek fathah dengan bunyi panjang fathah diikuti alif
13,K2.SK1.T02,Membaca suku kata berpola ـَا
13,K2.SK1.T03,Membaca mad alif pada awal struktur kata
13,K2.SK1.T04,Membaca mad alif pada tengah kata
13,K2.SK1.T05,Membaca mad alif pada akhir struktur kata yang sesuai
13,K2.SK1.T06,Membaca kata bermakna dengan satu mad alif
13,K2.SK1.T07,Membaca variasi kata bermakna dengan mad alif dan harakat pendek yang telah dikuasai
13,K2.SK1.T08,Membedakan kata murojaah tanpa mad dan kata baru dengan mad alif
13,K2.SK1.T09,Murojaah bentuk sambung seluruh huruf P001-P012
13,K2.SK1.T10,Membaca mandiri kata bermakna dengan mad alif tanpa bantuan pemecahan
