Page,StairCode,Description
14,K2.SK2.T01,Mengenali mad alif di dalam kata empat huruf
14,K2.SK2.T02,Membaca kata empat huruf bermad alif dengan dominan fathah
14,K2.SK2.T03,Membaca kata empat huruf bermad alif yang memuat kasrah sebagai harakat murojaah
14,K2.SK2.T04,Membaca kata empat huruf bermad alif yang memuat dhammah sebagai harakat murojaah
14,K2.SK2.T05,Membedakan bunyi pendek fathah dari bunyi panjang ـَا di dalam kata
14,K2.SK2.T06,Membaca contoh Quran-derived tanpa sukun tanwin tasydid atau hamzah baru
14,K2.SK2.T07,Membaca variasi posisi mad alif pada kata empat huruf
14,K2.SK2.T08,Mentransfer pola mad alif ke contoh bermakna yang telah dikenal
14,K2.SK2.T09,Membaca acak kata empat huruf bermad alif dengan fathah kasrah dhammah
14,K2.SK2.T10,Membaca mandiri kata empat huruf bermad alif tanpa bantuan pemecahan
