StairCode,Description
K1.SK5.T01,Mengenali bentuk tunggal ص ض dan bentuknya ketika mulai bersambung
K1.SK5.T02,Membedakan ص dan ض pada posisi awal kata tiga huruf
K1.SK5.T03,Membedakan ص dan ض pada posisi tengah kata tiga huruf
K1.SK5.T04,Membedakan ص dan ض pada posisi akhir kata tiga huruf
K1.SK5.T05,Membaca kata tiga huruf bermakna yang memuat ص
K1.SK5.T06,Membaca kata tiga huruf bermakna yang memuat ض
K1.SK5.T07,Membaca campuran ص ض bersama keluarga sambung yang sudah dikuasai
K1.SK5.T08,Membaca ص ض bersama pemutus sambungan ا د ذ ر ز و tanpa salah arah sambung
K1.SK5.T09,Membedakan ص ض secara acak dalam kata tiga huruf bermakna
K1.SK5.T10,Membaca campuran kata bermakna secara kumulatif tanpa keluar dari batas kompetensi P005
