Page,StairCode,Description
16,K1.SK16.T01,Mengenali ن berharakat fathah pada kata tiga huruf bermakna
16,K1.SK16.T02,Mengenali ن berharakat kasrah pada kata tiga huruf bermakna
16,K1.SK16.T03,Mengenali ن berharakat dhammah pada kata tiga huruf bermakna
16,K1.SK16.T04,Membaca ن pada posisi awal kata
16,K1.SK16.T05,Membaca ن pada posisi tengah kata
16,K1.SK16.T06,Membaca ن pada posisi akhir kata
16,K1.SK16.T07,Membaca variasi fathah kasrah dhammah bersama ن
16,K1.SK16.T08,Mentransfer ن bersama seluruh huruf yang telah dipelajari
16,K1.SK16.T09,Murojaah acak kata tiga huruf bermakna P001-P015
16,K1.SK16.T10,Membaca mandiri kata tiga huruf bermakna tanpa bantuan pemecahan
