Page,StairCode,Description
18,K1.SK18.T01,Mengenali ي berharakat fathah pada kata tiga huruf bermakna
18,K1.SK18.T02,Mengenali ي berharakat kasrah pada kata tiga huruf bermakna
18,K1.SK18.T03,Mengenali ي berharakat dhammah pada kata tiga huruf bermakna
18,K1.SK18.T04,Membaca ي pada posisi awal kata
18,K1.SK18.T05,Membaca ي pada posisi tengah kata
18,K1.SK18.T06,Membaca ي pada posisi akhir kata
18,K1.SK18.T07,Membaca variasi fathah kasrah dhammah bersama ي
18,K1.SK18.T08,Mentransfer ي bersama seluruh huruf yang telah dipelajari
18,K1.SK18.T09,Murojaah acak kata tiga huruf bermakna P001-P017
18,K1.SK18.T10,Membaca mandiri kata tiga huruf bermakna tanpa bantuan pemecahan
