Page,StairCode,Description
10,K1.SK10.T01,Mengenali bentuk sambung م dalam kata tiga huruf bermakna
10,K1.SK10.T02,Mengenali bentuk sambung ن dalam kata tiga huruf bermakna
10,K1.SK10.T03,Membaca م pada posisi awal tengah dan akhir kata
10,K1.SK10.T04,Membaca ن pada posisi awal tengah dan akhir kata
10,K1.SK10.T05,Membaca م ن dengan fathah kasrah dan dhammah
10,K1.SK10.T06,Membaca kata bermakna tiga huruf yang memuat م
10,K1.SK10.T07,Membaca kata bermakna tiga huruf yang memuat ن
10,K1.SK10.T08,Mentransfer م ن bersama seluruh huruf yang telah dipelajari
10,K1.SK10.T09,Murojaah acak kata tiga huruf bermakna P001-P009
10,K1.SK10.T10,Membaca mandiri kata tiga huruf bermakna tanpa bantuan pemecahan
