slot,word,meaning_id,function,competency_status,lexical_status
1,مَنَعَ,mencegah atau melarang,CURRENT,ALLOWED,CURATED
2,مَكَرَ,merencanakan tipu daya,CURRENT,ALLOWED,CURATED
3,مَلَكَ,memiliki atau menguasai,CURRENT,ALLOWED,CURATED
4,مَكَثَ,tinggal atau berdiam,CURRENT,ALLOWED,CURATED
5,مَرِضَ,menjadi sakit,CURRENT,ALLOWED,CURATED
6,مَسَكَ,memegang,CURRENT,ALLOWED,CURATED
7,مَسَحَ,mengusap,CURRENT,ALLOWED,CURATED
8,مَضَغَ,mengunyah,CURRENT,ALLOWED,CURATED
9,مَطَرَ,hujan atau turun hujan,CURRENT,ALLOWED,CURATED
10,مَدَحَ,memuji,CURRENT,ALLOWED,CURATED
11,مَرَحَ,bergembira,CURRENT,ALLOWED,CURATED
12,مَحَقَ,menghapus atau memusnahkan,CURRENT,ALLOWED,CURATED
13,مَشَقَ,menulis atau menggores,CURRENT,ALLOWED,CURATED
14,مَزَجَ,mencampur,CURRENT,ALLOWED,CURATED
15,نَزَلَ,turun,CURRENT,ALLOWED,CURATED
16,نَظَرَ,melihat,CURRENT,ALLOWED,CURATED
17,نَصَرَ,menolong,CURRENT,ALLOWED,CURATED
18,نَفَرَ,berangkat atau menjauh,CURRENT,ALLOWED,CURATED
19,نَقَلَ,memindahkan,CURRENT,ALLOWED,CURATED
20,نَكَثَ,melanggar janji,CURRENT,ALLOWED,CURATED
21,نَدِمَ,menyesal,CURRENT,ALLOWED,CURATED
22,نَشَرَ,menyebarkan,CURRENT,ALLOWED,CURATED
23,نَفَخَ,meniup,CURRENT,ALLOWED,CURATED
24,نَضَجَ,menjadi matang,CURRENT,ALLOWED,CURATED
25,نَبَذَ,membuang,CURRENT,ALLOWED,CURATED
26,نَحَرَ,menyembelih,CURRENT,ALLOWED,CURATED
27,نَجَحَ,berhasil,CURRENT,ALLOWED,CURATED
28,نَسَخَ,menyalin atau menghapus,CURRENT,ALLOWED,CURATED
29,كَتَبَ,menulis,MUROJAAH,ALLOWED,CURATED
30,لَعِبَ,bermain,MUROJAAH,ALLOWED,CURATED
31,قَرُبَ,menjadi dekat,MUROJAAH,ALLOWED,CURATED
32,فَرِحَ,bergembira,MUROJAAH,ALLOWED,CURATED
