Page,StairCode,Description
15,K1.SK15.T01,Mengenali م berharakat fathah pada kata tiga huruf bermakna
15,K1.SK15.T02,Mengenali م berharakat kasrah pada kata tiga huruf bermakna
15,K1.SK15.T03,Mengenali م berharakat dhammah pada kata tiga huruf bermakna
15,K1.SK15.T04,Membaca م pada posisi awal kata
15,K1.SK15.T05,Membaca م pada posisi tengah kata
15,K1.SK15.T06,Membaca م pada posisi akhir kata
15,K1.SK15.T07,Membaca variasi fathah kasrah dhammah bersama م
15,K1.SK15.T08,Mentransfer م bersama seluruh huruf yang telah dipelajari
15,K1.SK15.T09,Murojaah acak kata tiga huruf bermakna P001-P014
15,K1.SK15.T10,Membaca mandiri kata tiga huruf bermakna tanpa bantuan pemecahan
