Page,StairCode,Description
24,K2.SK3.T01,Mengenali dhammah pendek sebelum waw
24,K2.SK3.T02,Membedakan bunyi pendek dan mad waw
24,K2.SK3.T03,Membaca pola dhammah plus waw dua harakat
24,K2.SK3.T04,Membaca mad waw pada kata tiga huruf
24,K2.SK3.T05,Membaca mad waw pada kata empat huruf
24,K2.SK3.T06,Membaca mad waw pada kata lima huruf
24,K2.SK3.T07,Membaca variasi posisi mad waw di dalam kata
24,K2.SK3.T08,Menjaga panjang dua harakat secara konsisten
24,K2.SK3.T09,Membaca acak kata bermad waw tanpa bantuan pemecahan
24,K2.SK3.T10,Membaca mandiri seluruh objek P024 dengan lancar
