StairCode,Description
K1.SK4.T01,Membaca ulang kata tiga huruf bermakna dari keluarga ب ت ث
K1.SK4.T02,Membaca ulang kata tiga huruf bermakna dari keluarga ج ح خ
K1.SK4.T03,Membaca ulang kata tiga huruf bermakna dari keluarga س ش
K1.SK4.T04,Membedakan bentuk huruf sambung pada posisi awal secara acak
K1.SK4.T05,Membedakan bentuk huruf sambung pada posisi tengah secara acak
K1.SK4.T06,Membedakan bentuk huruf sambung pada posisi akhir secara acak
K1.SK4.T07,Membaca kata bermakna yang memuat pemutus sambungan ا د ذ ر ز و
K1.SK4.T08,Membaca campuran fathah kasrah dan dhammah tanpa bantuan pemecahan
K1.SK4.T09,Membaca kata bermakna secara acak lintas keluarga P001-P003
K1.SK4.T10,Transfer mandiri ke kata tiga huruf bermakna baru tanpa keluar dari batas kompetensi P004
