Page,StairCode,Description
12,K1.SK12.T01,Mengenali ي berharakat fathah pada kata tiga huruf bermakna
12,K1.SK12.T02,Mengenali ي berharakat kasrah pada kata tiga huruf bermakna
12,K1.SK12.T03,Mengenali ي berharakat dhammah pada kata tiga huruf bermakna
12,K1.SK12.T04,Membaca ي pada posisi awal kata
12,K1.SK12.T05,Membaca ي pada posisi tengah kata
12,K1.SK12.T06,Membedakan ي sebagai huruf berharakat dari ya sukun atau mad yang belum menjadi fokus
12,K1.SK12.T07,Membaca variasi fathah kasrah dhammah bersama ي
12,K1.SK12.T08,Mentransfer ي bersama seluruh huruf yang telah dipelajari
12,K1.SK12.T09,Murojaah acak kata tiga huruf bermakna P001-P011
12,K1.SK12.T10,Membaca mandiri kata tiga huruf bermakna tanpa bantuan pemecahan
