slot,word,meaning_id,function,competency_status,lexical_status
1,طَبَخَ,memasak ط awal,ACQUISITION,ALLOWED,MEANINGFUL
2,طَرَحَ,meletakkan atau melempar ط awal,ACQUISITION,ALLOWED,MEANINGFUL
3,طَرَبَ,bergembira ط awal,ACQUISITION,ALLOWED,MEANINGFUL
4,طَبَخَ,memasak ط awal,ACQUISITION,ALLOWED,MEANINGFUL
5,طَرَحَ,meletakkan atau melempar ط awal,ACQUISITION,ALLOWED,MEANINGFUL
6,طَرَبَ,bergembira ط awal,ACQUISITION,ALLOWED,MEANINGFUL
7,طَبَخَ,memasak ط awal,ACQUISITION,ALLOWED,MEANINGFUL
8,طَرَحَ,meletakkan atau melempar ط awal,ACQUISITION,ALLOWED,MEANINGFUL
9,طَرَبَ,bergembira ط awal,ACQUISITION,ALLOWED,MEANINGFUL
10,طَبَخَ,memasak ط awal,ACQUISITION,ALLOWED,MEANINGFUL
11,طَرَحَ,meletakkan atau melempar ط awal,ACQUISITION,ALLOWED,MEANINGFUL
12,طَرَبَ,bergembira ط awal,ACQUISITION,ALLOWED,MEANINGFUL
13,طَبَخَ,memasak ط awal,ACQUISITION,ALLOWED,MEANINGFUL
14,طَرَحَ,meletakkan atau melempar ط awal,ACQUISITION,ALLOWED,MEANINGFUL
15,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
16,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
17,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
18,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
19,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
20,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
21,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
22,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
23,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
24,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
25,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
26,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
27,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
28,حَظَرَ,melarang ظ tengah,ACQUISITION,ALLOWED,MEANINGFUL
29,طَرَبَ,contoh nyata ط,MUROJAAH,ALLOWED,CURATED
30,حَظَرَ,contoh nyata ظ,MUROJAAH,ALLOWED,CURATED
31,ضَرَبَ,murojaah,MUROJAAH,ALLOWED,CURATED
32,صَبَرَ,murojaah,MUROJAAH,ALLOWED,CURATED
