slot,word,meaning_id,function,competency_status,lexical_status
1,صَبَرَ,bersabar atau menahan diri,CURRENT,ALLOWED,CURATED
2,صَبَحَ,datang pada waktu pagi,CURRENT,ALLOWED,CURATED
3,صَبُحَ,menjadi cerah atau elok,CURRENT,ALLOWED,CURATED
4,صَحِبَ,menemani atau menyertai,CURRENT,ALLOWED,CURATED
5,صَخِبَ,menjadi gaduh atau bising,CURRENT,ALLOWED,CURATED
6,صَدَحَ,mengangkat suara atau berkicau nyaring,CURRENT,ALLOWED,CURATED
7,صَدَرَ,keluar atau beranjak dari suatu tempat,CURRENT,ALLOWED,CURATED
8,صَرَحَ,menjadi jelas atau menyatakan dengan terang,CURRENT,ALLOWED,CURATED
9,بَصَرَ,memandang atau mengamati,CURRENT,ALLOWED,CURATED
10,حَصَدَ,menuai atau memanen,CURRENT,ALLOWED,CURATED
11,خَصِبَ,menjadi subur,CURRENT,ALLOWED,CURATED
12,رَصَدَ,mengamati atau mengintai,CURRENT,ALLOWED,CURATED
13,ضَرَبَ,memukul atau membuat perumpamaan,CURRENT,ALLOWED,CURATED
14,ضَجِرَ,merasa jemu atau kesal,CURRENT,ALLOWED,CURATED
15,ضَبَحَ,terengah atau mengeluarkan suara napas keras,CURRENT,ALLOWED,CURATED
16,ضَرَسَ,menggigit atau mengunyah dengan geraham,CURRENT,ALLOWED,CURATED
17,سَبُحَ,bergerak atau berenang dengan ringan,MUROJAAH,ALLOWED,CURATED
18,شَرِبَ,meminum,MUROJAAH,ALLOWED,CURATED
19,خَبُثَ,menjadi buruk atau keji,MUROJAAH,ALLOWED,CURATED
20,سَرُرَ,menjadi gembira atau senang,MUROJAAH,ALLOWED,CURATED
21,حَذُرَ,menjadi waspada atau berhati-hati,MUROJAAH,ALLOWED,CURATED
22,خَبِرَ,mengetahui atau berpengalaman,MUROJAAH,ALLOWED,CURATED
23,خَرَجَ,keluar,MUROJAAH,ALLOWED,CURATED
24,وَجَدَ,menemukan,MUROJAAH,ALLOWED,CURATED
25,وَرِثَ,mewarisi,MUROJAAH,ALLOWED,CURATED
26,بَرُدَ,menjadi dingin,MUROJAAH,ALLOWED,CURATED
27,جَحَدَ,menyangkal,MUROJAAH,ALLOWED,CURATED
28,سَجَدَ,bersujud,MUROJAAH,ALLOWED,CURATED
29,بَذَرَ,menabur,MUROJAAH,ALLOWED,CURATED
30,بَرَزَ,muncul atau tampil,MUROJAAH,ALLOWED,CURATED
31,وَرَدَ,datang atau sampai,MUROJAAH,ALLOWED,CURATED
32,ثَبَتَ,tetap atau teguh,MUROJAAH,ALLOWED,CURATED
