Page,StairCode,Description
11,K1.SK11.T01,Mengenali bentuk sambung ه dalam kata tiga huruf bermakna
11,K1.SK11.T02,Mengenali bentuk و dan sifat tidak menyambung ke huruf sesudahnya
11,K1.SK11.T03,Membaca ه pada posisi awal tengah dan akhir kata
11,K1.SK11.T04,Membaca و pada posisi awal tengah dan akhir kata
11,K1.SK11.T05,Membaca ه و dengan fathah kasrah dan dhammah
11,K1.SK11.T06,Membaca kata bermakna tiga huruf yang memuat ه
11,K1.SK11.T07,Membaca kata bermakna tiga huruf yang memuat و
11,K1.SK11.T08,Mentransfer ه و bersama seluruh huruf yang telah dipelajari
11,K1.SK11.T09,Murojaah acak kata tiga huruf bermakna P001-P010
11,K1.SK11.T10,Membaca mandiri kata tiga huruf bermakna tanpa bantuan pemecahan
