Page,StairCode,Description
23,K2.SK1C.T01,Menguatkan pola fathah diikuti alif sebagai bunyi panjang dua harakat
23,K2.SK1C.T02,Membaca mad alif pada kata tiga huruf dengan cepat dan tepat
23,K2.SK1C.T03,Membaca mad alif pada kata empat huruf bermakna
23,K2.SK1C.T04,Membaca mad alif pada kata lima huruf bermakna
23,K2.SK1C.T05,Membaca mad alif pada posisi berbeda dalam struktur kata
23,K2.SK1C.T06,Mempertahankan panjang dua harakat ketika huruf lain berubah
23,K2.SK1C.T07,Mempertahankan mad alif bersama variasi fathah kasrah dan dhammah yang telah dikenal
23,K2.SK1C.T08,Membaca deret kata mad alif dengan kompleksitas meningkat tanpa berhenti pada tiap suku kata
23,K2.SK1C.T09,Membedakan pola mad alif dari pola pendek tanpa memperkenalkan mad ya atau mad waw
23,K2.SK1C.T10,Membaca mandiri variasi kata mad alif 3 sampai 5 huruf secara lancar
