Page,StairCode,Description
19,K1.SK19.T01,Mengenali ظ berharakat fathah pada kata tiga huruf bermakna
19,K1.SK19.T02,Mengenali ظ berharakat kasrah pada kata tiga huruf bermakna
19,K1.SK19.T03,Mengenali ظ berharakat dhammah pada kata tiga huruf bermakna
19,K1.SK19.T04,Membaca ظ pada posisi awal kata
19,K1.SK19.T05,Membaca ظ pada posisi tengah kata
19,K1.SK19.T06,Membaca ظ pada posisi akhir kata
19,K1.SK19.T07,Membaca variasi fathah kasrah dhammah bersama ظ
19,K1.SK19.T08,Mentransfer ظ bersama seluruh huruf yang telah dipelajari
19,K1.SK19.T09,Murojaah acak kata tiga huruf bermakna P001-P018
19,K1.SK19.T10,Membaca mandiri kata tiga huruf bermakna tanpa bantuan pemecahan
