slot,word,meaning_id,function,competency_status,lexical_status
1,فَرَحَ,bergembira ف awal,ACQUISITION,ALLOWED,MEANINGFUL
2,فَتَحَ,membuka ف awal,ACQUISITION,ALLOWED,MEANINGFUL
3,فَسَحَ,memberi kelapangan ف awal,ACQUISITION,ALLOWED,MEANINGFUL
4,فَسَدَ,rusak ف awal,ACQUISITION,ALLOWED,MEANINGFUL
5,فَقَدَ,kehilangan ف awal ق tengah,ACQUISITION,ALLOWED,MEANINGFUL
6,فَجَرَ,memancar atau membelah ف awal,ACQUISITION,ALLOWED,MEANINGFUL
7,فَرَحَ,bergembira ف awal,ACQUISITION,ALLOWED,MEANINGFUL
8,فَتَحَ,membuka ف awal,ACQUISITION,ALLOWED,MEANINGFUL
9,فَسَحَ,memberi kelapangan ف awal,ACQUISITION,ALLOWED,MEANINGFUL
10,فَسَدَ,rusak ف awal,ACQUISITION,ALLOWED,MEANINGFUL
11,فَقَدَ,kehilangan ف awal ق tengah,ACQUISITION,ALLOWED,MEANINGFUL
12,فَجَرَ,memancar atau membelah ف awal,ACQUISITION,ALLOWED,MEANINGFUL
13,فَرَحَ,bergembira ف awal,ACQUISITION,ALLOWED,MEANINGFUL
14,فَتَحَ,membuka ف awal,ACQUISITION,ALLOWED,MEANINGFUL
15,قَرُبَ,dekat ق awal,ACQUISITION,ALLOWED,MEANINGFUL
16,قَبَضَ,menggenggam ق awal,ACQUISITION,ALLOWED,MEANINGFUL
17,قَدَرَ,mampu atau menentukan ق awal,ACQUISITION,ALLOWED,MEANINGFUL
18,قَطَعَ,memotong ق awal,ACQUISITION,ALLOWED,MEANINGFUL
19,قَذَفَ,melempar ق awal ف akhir,ACQUISITION,ALLOWED,MEANINGFUL
20,قَرُبَ,dekat ق awal,ACQUISITION,ALLOWED,MEANINGFUL
21,قَبَضَ,menggenggam ق awal,ACQUISITION,ALLOWED,MEANINGFUL
22,قَدَرَ,mampu atau menentukan ق awal,ACQUISITION,ALLOWED,MEANINGFUL
23,قَطَعَ,memotong ق awal,ACQUISITION,ALLOWED,MEANINGFUL
24,قَذَفَ,melempar ق awal ف akhir,ACQUISITION,ALLOWED,MEANINGFUL
25,قَرُبَ,dekat ق awal,ACQUISITION,ALLOWED,MEANINGFUL
26,قَبَضَ,menggenggam ق awal,ACQUISITION,ALLOWED,MEANINGFUL
27,قَدَرَ,mampu atau menentukan ق awal,ACQUISITION,ALLOWED,MEANINGFUL
28,قَطَعَ,memotong ق awal,ACQUISITION,ALLOWED,MEANINGFUL
29,فَرَحَ,contoh nyata ف,MUROJAAH,ALLOWED,CURATED
30,قَرُبَ,contoh nyata ق,MUROJAAH,ALLOWED,CURATED
31,عَبَرَ,murojaah,MUROJAAH,ALLOWED,CURATED
32,غَرَبَ,murojaah,MUROJAAH,ALLOWED,CURATED
